Name;Alternate name;Constellation;Type;RA;Dec;NGC/IC name;Magnitude
M62;Flickering Globular;Ophiuchus;Globular cluster;17h 01m 12.60s;−30° 06′ 44.5″;NGC 6266;6.5
M63;Sunflower Galaxy;Canes Venatici;Spiral galaxy;13h 15m 49.3s;42° 01′ 45″;NGC 5055;8.6
M64;Black Eye Galaxy;Coma Berenices;Spiral galaxy;12h 56m 43.7s;21° 40′ 58″;NGC 4826;8.5
M65;Leo Triplet;Leo;Barred spiral galaxy;11h 18m 55.9s;13° 05′ 32″;NGC 3623;9.3
M66;Leo Triplet;Leo;Barred spiral galaxy;11h 20m 15.0s;12° 59′ 30″;"	NGC 3627";8.9
M67;King Cobra Cluster;Cancer;Open cluster;08h 51.3m;11° 49′;"NGC 2682	";6.1
M68;;Hydra;Globular cluster;12h 39m 27.98s;−26° 44′ 38.6″;NGC 4590;7.8
M69;;Sagittarius;Globular cluster;18h 31m 23.10s;−32° 20′ 53.1″;"NGC 6637	";7.6
M70;;Sagittarius;Globular cluster;18h 43m 12.76s;−32° 17′ 31.6;NGC 6681;7.9
M71;Angelfish Cluster;Sagitta;Globular cluster;19h 53m 46.49s;18° 46′ 45.1″;NGC 6838;8.2
M72;;Aquarius;Globular cluster;20h 53m 27.70s;−12° 32′ 14.3″;NGC 6981;9.3
M73;;Aquarius;Asterism;20h 58m 54s;−12° 38′;NGC 6994;9
M74;Phantom Galaxy;Pisces;Spiral galaxy;01h 36m 41.8s;15° 47′ 01″;NGC 628;9.4
M75;;Sagittarius;Globular cluster;20h 06m 04.75s;−21° 55′ 16.2″;"NGC 6864	";8.5
M76;Little Dumbbell Nebula;Perseus;Planetary nebula;01h 42.4m;51° 34′ 31″;NGC 650/651;10.1
M77;Squid Galaxy;Cetus;Spiral galaxy;02h 42m 40.7s;−00° 00′ 48″;NGC 1068;8.9
M78;Casper the Friendly Ghost;Orion;Diffuse nebula;05h 46m 46.7s;00° 00′ 50″;NGC 2068;8.3
M79;;Lepus;Globular cluster;05h 24m 10.59s;−24° 31′ 27.3″;"NGC 1904	";7.7
M80;;Scorpius;Globular cluster;16h 17m 02.41s;−22° 58′ 33.9″;"	NGC 6093";7.3
M81;Bode's Galaxy;Ursa Major;Spiral galaxy;09h 55m 33.2s;69° 03′ 55″;NGC 3031;6.9
M82;Cigar Galaxy;Ursa Major;Starburst galaxy;09h 55m 52.2s;69° 40′ 47″;NGC 3034;8.4
M83;Southern Pinwheel Galaxy;Hydra;Barred spiral galaxy;13h 37m 00.9s;−29° 51′ 57″;NGC 5236;7.6
M84;;Virgo;Lenticular galaxy;12h 25m 03.7s;12° 53′ 13″;"NGC 4374	";9.1
M85;;Coma Berenices;Lenticular galaxy;12h 25m 24.0s;18° 11′ 28″;NGC 4382;9.1
M86;;Virgo;Lenticular galaxy;12h 26m 11.7s;12° 56′ 46″;"	NGC 4406";8.9
M87;Smoking Gun Galaxy;Virgo;Elliptical galaxy;12h 30m 49.42338s;12° 23′ 28.0439″;NGC 4486;8.7
M88;;Coma Berenices;Spiral galaxy;12h 31m 59.2s;14° 25′ 14″;NGC 4501;9.6
M89;;Virgo;Elliptical galaxy;12h 35m 39.8s;12° 33′ 23″;NGC 4552;9.8
M90;;Virgo;Spiral galaxy;12h 36m 49.8s;13° 09′ 46″;NGC 4569;9.5
M91;;Coma Berenices;Barred spiral galaxy;12h 35m 26.4s;14° 29′ 47″;NGC 4548;10.2
M92;;Hercules;Globular cluster;17h 17m 07.39s;43° 08′ 09.4″;NGC 6341;6.4
M93;Critter Cluster;Puppis;Open cluster;07h 44.6m;−23° 52′;NGC 2447;6
M94;Cat's Eye Galaxy;Canes Venatici;Spiral galaxy;12h 50m 53.1s;41° 07′ 14″;NGC 4736;8.2
M95;;Leo;Barred spiral galaxy;10h 43m 57.7s;11° 42′ 14″;"	NGC 3351";9.7
M96;;Leo;Spiral galaxy;10h 46m 45.7s;11° 49′ 12″;"	NGC 3368";9.2
M97;Owl Nebula;Ursa Major;Planetary nebula;11h 14m 47.734s;55° 01′ 08.50″;NGC 3587;9.9
M98;;Coma Berenices;Spiral galaxy;12h 13m 48.292s;14° 54′ 01.69″;"	NGC 4192";10.1
M99;St. Catherine's Wheel;Coma Berenices;Spiral galaxy;12h 18m 49.6s;14° 24′ 59″;NGC 4254;9.9
M100;Mirror Galaxy;Coma Berenices;Spiral galaxy;12h 22m 54.9s;15° 49′ 21″;NGC 4321;9.3
M101;Pinwheel Galaxy;Ursa Major;Spiral galaxy;14h 03m 12.6s;54° 20′ 57″;"	NGC 5457";7.9
M102;Spindle Galaxy;Draco;Lenticular galaxy;15h 06m 29.5s;55° 45′ 48″;NGC 5866;9.9
M103;;Cassiopeia;Open cluster;01h 33.2m;60° 42′;NGC 581;7.4
M104;Sombrero Galaxy;Virgo;Spiral galaxy;12h 39m 59.4s;−11° 37′ 23″;NGC 4594;8
M105;;Leo;Elliptical galaxy;10h 47m 49.6s;12° 34′ 54″;NGC 3379;9.3
M106;;Canes Venatici;Spiral galaxy;12h 18m 57.5s;47° 18′ 14″;NGC 4258;8.4
M107;Crucifix Cluster;Ophiuchus;Globular cluster;16h 32m 31.86s;−13° 03′ 13.6″;NGC 6171;7.9
M108;Surfboard Galaxy;Ursa Major;Barred spiral galaxy;11h 11m 31.0s;55° 40′ 27″;NGC 3556;10
M109;Vacuum Cleaner Galaxy;Ursa Major;Barred spiral galaxy;11h 57m 36.0s;53° 22′ 28″;NGC 3992;9.8
M110;Edward Young Star;Andromeda;Dwarf elliptical galaxy;00h 40m 22.1s;41° 41′ 07″;NGC 205;8.5
